handNumber	personID	outcome	folded
1	1	0	TRUE
1	3	-75	FALSE
1	6	-30	TRUE
1	7	620	FALSE
1	8	0	TRUE
1	9	-75	FALSE
1	10	-75	FALSE
1	13	-75	FALSE
1	14	-65	TRUE
1	15	-75	FALSE
1	16	-75	FALSE
1	17	-75	FALSE
1	20	0	TRUE
2	1	0	TRUE
2	3	0	TRUE
2	6	-100	TRUE
2	7	0	TRUE
2	8	-125	FALSE
2	9	0	TRUE
2	10	0	TRUE
2	13	0	TRUE
2	14	-125	FALSE
2	15	0	TRUE
2	16	-125	FALSE
2	17	475	FALSE
2	20	0	TRUE
3	1	-100	FALSE
3	3	0	TRUE
3	6	0	TRUE
3	7	0	TRUE
3	8	-100	FALSE
3	9	-125	FALSE
3	10	0	TRUE
3	13	0	TRUE
3	14	-525	FALSE
3	15	2700	FALSE
3	16	-525	FALSE
3	17	-525	FALSE
3	20	-800	FALSE
